Product Name,Brand,Price,ImageName
Shea Moisture High Porosity Elixir 4oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20200_0.jpeg
Product Name,Brand,Price,ImageName
Shea Moisture SFC Conditioner 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20120_0_1.jpg
Shea Moisture SFC Shampoo 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20121_0_1.jpg
Shea Moisture SFC Frizz-Taming Smoothie 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20137_0.jpeg
Shea Moisture SFC Leave-in Detangler oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20139_0.jpeg
Shea Moisture Low Porosity Shampoo 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20201_0_1.jpg
Shea Moisture High Porosity Co-Wash 8oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20202_0.jpeg
Shea Moisture High Porosity Styling Gel 8oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20203_0.jpeg
Shea Moisture High Porosity Shampoo 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20204_0.jpg
Shea Moisture Low Porosity Conditioner 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20205_0_1.jpg
Shea Moisture High Porosity Masque 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20206_0.jpg
Shea Moisture Low Porosity Leave-in Detangler 8oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM20207_0_1.jpg
Product Name,Brand,Price,ImageName
Shea Moisture JBC S&R Oil Shampoo 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM21550_0_1.jpg
Shea Moisture JBC Oil Style Lotion 8oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM21552_0_1.jpg
Shea Moisture JBC Oil S&R Masque 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM21555_0_1.jpg
Shea Moisture JBC Oil Edge Treatment 4oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM21557_0_1.jpg
Shea Moisture JBC Oil S&R Conditioner 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM21559_0_1.jpg
Shea Moisture JBC Thermal Protect Set&Hold Spritz 8oz,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM21565_0.jpeg
Shea Moisture JBC Oil Leave-In Conditioner 11oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM21584_0_1.jpg
Shea Moisture JBC Oil Smoothie 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM21585_0_1.jpg
Shea Moisture Black Deep Clean Shampoo 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM27020_0_1.jpg
Shea Moisture Black Clarifying Conditioner 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM27021_0_1.jpg
Product Name,Brand,Price,ImageName
Shea Moisture Black Purification Masque 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM27024_0_1.jpg
Shea Moisture Black Dandruff Shampoo 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM27041_0_1.jpg
Shea Moisture Black Dandruff Masque 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM27044_0_1.jpg
Shea Moisture RSB Moisture Retention Shampoo 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM28020_0_1.jpg
Shea Moisture RSB Restorative Conditioner 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM28021_0_1.jpg
Shea Moisture RSB Deep Treatment Masque 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM28024_0_1.jpg
Shea Moisture C&H Curl & Shine Shampoo 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM29020_0_1.jpg
Shea Moisture C&H Curl & Style Milk 8oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM29024_0_1.jpg
Shea Moisture C&H Curling Gel Soufflé 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM29031_0_1.jpg
Shea Moisture C&H Frizz Free Curl Mousse 8oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM29061_0_1.jpg
Shea Moisture C&H Curl & Shine Conditioner 13oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM29062_0_1.jpg
Shea Moisture C&H Co-Wash Cleanser 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM29063_0.jpg
Shea Moisture C&H Co-Wash Cleanser 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM29063_0.jpg
Shea Moisture C&H Treatment Masque 12oz.,Shea Moisture,160,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/S/M/SM29108_0.jpg
